                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41765,                0.99998,                 3.7826,                 1.0058,                0.19456,                0.41492,                0.22456,                0.21624,                0.19456,                0.41492,                0.22537,                0.21492,                 0.4342,                0.57787,                 3.4617,                 1.1564,                 0.0739,                 0.0029,                 0.0029
                      1,                0.31187,                0.47434,                 2.4231,                0.90147,                0.27216,                 0.5526,                 0.4106,                0.39485,                0.26853,                 0.5425,                0.40847,                0.40107,                0.36062,                0.44462,                 3.3206,                 1.0784,               0.046842,              0.0058416,              0.0058416
                      2,                0.36141,                0.42874,                 1.8588,                0.87123,                0.56704,                0.54503,                0.52193,                0.49957,                0.56704,                0.54503,                0.52057,                0.50522,                0.50994,                 1.1758,                 2.2163,                  1.299,               0.019724,              0.0087238,              0.0087238
                      3,                 0.4109,                0.73288,                  1.692,                0.90511,                0.44859,                0.46822,                0.37231,                0.32156,                0.44096,                0.45014,                0.36977,                0.31814,                0.73371,                 2.5154,                 6.0484,                  1.508,               0.009703,               0.009703,               0.009703
                      4,                0.41769,                 0.4313,                 1.3974,                0.90485,                0.55082,                0.39776,                0.38893,                0.34852,                0.56145,                0.37176,                0.37938,                0.30809,                0.71422,                 2.3447,                 2.7799,                 1.5071,               0.009703,               0.009703,               0.009703
                      5,                0.42431,                0.55327,                 1.2753,                0.90323,                0.58575,                0.46203,                0.44978,                0.39538,                0.57953,                 0.4573,                0.44545,                0.38733,                0.70963,                 1.6926,                 2.6568,                 1.8288,               0.009604,               0.009604,               0.009604
                      6,                0.40573,                0.48486,                 1.2363,                0.91689,                0.68732,                0.63367,                0.64991,                0.60259,                0.68732,                0.63367,                0.64724,                0.59527,                0.72792,                 1.5321,                 2.0843,                 1.6485,               0.009505,               0.009505,               0.009505
                      7,                0.40785,                0.45907,                 1.1204,                0.91775,                 0.7966,                0.64317,                0.71404,                0.67764,                 0.7966,                0.64317,                0.71342,                 0.6892,                0.61689,                 1.2015,                 1.5932,                  1.219,               0.009406,               0.009406,               0.009406
                      8,                0.40569,                 0.3597,                 1.0158,                0.91772,                0.76492,                0.68386,                0.71976,                0.67944,                0.76492,                0.68386,                0.71976,                0.68299,                0.59915,                0.71936,                 1.4233,                 1.1827,               0.009307,               0.009307,               0.009307
                      9,                0.42429,                0.52417,                 1.0341,                0.92309,                0.81852,                0.65694,                0.73073,                0.67217,                0.81852,                0.65694,                0.73073,                0.69541,                0.64347,                0.69193,                  1.406,                 1.4075,               0.009208,               0.009208,               0.009208
                     10,                0.43141,                0.46198,                 1.1455,                0.90849,                0.70532,                0.72617,                0.76085,                0.72271,                0.70532,                0.72617,                0.76032,                0.73655,                0.39849,                0.41536,                 1.5943,                 1.0047,               0.009109,               0.009109,               0.009109
                     11,                0.42828,                0.39206,                 1.0031,                0.91286,                0.83649,                0.71997,                 0.7748,                0.70128,                0.83649,                0.71997,                0.77215,                0.75205,                0.46868,                0.47469,                 1.2185,                0.93527,                0.00901,                0.00901,                0.00901
                     12,                0.41898,                0.42732,                0.93844,                0.91557,                0.88555,                0.68679,                0.77901,                0.72051,                0.88555,                0.68679,                0.76693,                0.72277,                0.66039,                0.67398,                 1.2209,                 1.5701,               0.008911,               0.008911,               0.008911
                     13,                0.40557,                0.36939,                0.85851,                0.91258,                 0.8936,                0.68339,                0.77146,                0.73399,                 0.8936,                0.68339,                0.77167,                0.73161,                0.42296,                0.48849,                 1.4144,                0.94234,               0.008812,               0.008812,               0.008812
                     14,                 0.3985,                0.30254,                0.84497,                0.90426,                0.85091,                0.69676,                0.74996,                  0.705,                0.85091,                0.69676,                0.74636,                0.70979,                0.41875,                0.45558,                 1.5239,                0.94558,               0.008713,               0.008713,               0.008713
                     15,                0.38142,                0.32103,                0.86852,                0.90825,                0.85192,                0.71866,                0.77816,                0.74887,                0.85192,                0.71866,                0.77724,                0.74766,                0.34835,                0.41148,                 1.2487,                 0.9721,               0.008614,               0.008614,               0.008614
                     16,                0.41328,                 0.3491,                0.79048,                   0.91,                0.90406,                0.75072,                0.81708,                0.75369,                0.90406,                0.75072,                 0.8151,                0.77095,                0.57444,                 1.0157,                 1.0589,                 1.6152,               0.008515,               0.008515,               0.008515
                     17,                 0.3673,                0.37162,                0.85255,                0.89591,                0.87341,                0.69838,                0.76678,                 0.7426,                0.87341,                0.69838,                0.76678,                0.74279,                0.58475,                0.58524,                  1.277,                 1.5362,               0.008416,               0.008416,               0.008416
                     18,                0.38903,                0.33481,                0.76415,                0.90185,                0.84677,                 0.7203,                0.77492,                0.75187,                0.83807,                0.71051,                0.76691,                0.75819,                0.36762,                 0.7375,                 1.4793,                0.97323,               0.008317,               0.008317,               0.008317
                     19,                0.37042,                0.36705,                0.73496,                0.89197,                0.96539,                0.76824,                 0.8196,                0.79251,                0.96539,                0.76824,                 0.8196,                0.80041,                0.33527,                0.43972,                 1.0093,                0.86358,               0.008218,               0.008218,               0.008218
                     20,                0.36502,                0.32582,                0.74085,                0.89517,                0.93434,                0.77681,                0.81718,                 0.7947,                0.93434,                0.77681,                0.81718,                0.79534,                0.31711,                0.42075,                 1.0652,                0.86021,               0.008119,               0.008119,               0.008119
                     21,                0.36777,                0.46416,                0.71604,                0.89691,                0.92166,                0.77377,                0.82478,                0.79835,                0.92166,                0.77377,                0.82478,                 0.8004,                0.31231,                0.49988,                 1.0134,                0.95341,                0.00802,                0.00802,                0.00802
                     22,                0.37213,                0.32348,                0.72224,                0.89401,                0.82479,                0.72224,                0.79887,                0.77939,                0.82479,                0.72224,                0.79887,                0.79129,                0.31965,                0.33953,                0.80037,                0.92389,               0.007921,               0.007921,               0.007921
                     23,                0.36459,                0.29388,                0.68438,                0.89494,                0.91943,                0.71695,                0.81618,                 0.7929,                0.91943,                0.71695,                0.81618,                0.78382,                0.29099,                0.42623,                 1.1061,                0.84926,               0.007822,               0.007822,               0.007822
                     24,                0.34593,                0.31462,                0.66685,                0.89028,                0.91631,                0.74691,                0.83777,                0.80802,                0.89777,                0.73179,                0.81624,                0.77385,                 0.3635,                0.64763,                0.93432,                0.96249,               0.007723,               0.007723,               0.007723
                     25,                0.33886,                 0.3158,                0.65717,                0.88884,                0.88093,                0.72948,                0.80357,                0.75988,                0.88093,                0.72948,                0.80407,                0.75907,                 0.4183,                0.54493,                0.81922,                  1.064,               0.007624,               0.007624,               0.007624
                     26,                0.34828,                0.33657,                0.68922,                0.89726,                0.94846,                 0.7373,                0.92998,                0.90594,                0.94846,                 0.7373,                0.92998,                0.90481,                0.62616,                0.38528,                0.77732,                  1.384,               0.007525,               0.007525,               0.007525
                     27,                0.34206,                0.34398,                0.64053,                0.88787,                0.84618,                0.68009,                0.77555,                0.74077,                0.84618,                0.68009,                0.77555,                0.74046,                0.57273,                0.54021,                 1.0315,                 1.2865,               0.007426,               0.007426,               0.007426
                     28,                0.34338,                0.30185,                0.61757,                0.87576,                0.86544,                0.75995,                0.80429,                0.77654,                0.86544,                0.75995,                0.80429,                0.78102,                0.42689,                0.48029,                0.71308,                 1.1031,               0.007327,               0.007327,               0.007327
                     29,                0.31909,                0.29016,                0.62617,                0.88112,                0.82801,                0.72663,                0.79328,                 0.7623,                0.82801,                0.72663,                0.79328,                0.75306,                0.57932,                0.90012,                  1.235,                 1.2483,               0.007228,               0.007228,               0.007228
                     30,                0.34681,                 0.2649,                0.57148,                0.88941,                0.94051,                0.80462,                0.85428,                0.83267,                0.94051,                0.80462,                0.85428,                0.83694,                0.40866,                0.31262,                0.52076,                  1.129,               0.007129,               0.007129,               0.007129
                     31,                0.32431,                0.31385,                0.58144,                0.88403,                0.90958,                0.79699,                0.84999,                0.82471,                0.90958,                0.79699,                0.84999,                 0.8294,                0.33665,                0.50891,                0.87758,                0.89269,                0.00703,                0.00703,                0.00703
                     32,                0.33759,                0.27509,                0.68486,                0.88962,                0.91765,                0.76578,                 0.8173,                0.78988,                0.91765,                0.76578,                 0.8173,                0.79251,                0.27679,                0.35489,                 1.3658,                0.84388,               0.006931,               0.006931,               0.006931
                     33,                0.34017,                0.28363,                0.65917,                0.88975,                0.91475,                0.77511,                0.87136,                0.85017,                0.91475,                0.77511,                0.87136,                0.84641,                0.25507,                0.29447,                 1.3953,                0.81663,               0.006832,               0.006832,               0.006832
                     34,                0.32873,                0.28863,                0.56249,                0.87649,                0.95167,                0.76898,                0.83005,                0.80332,                0.95167,                0.76898,                0.82592,                0.80732,                0.32214,                0.43349,                 1.0368,                0.88567,               0.006733,               0.006733,               0.006733
                     35,                0.34782,                0.39332,                0.58822,                 0.8837,                0.95404,                0.81926,                0.88165,                0.86183,                0.95404,                0.81926,                0.88165,                0.86462,                0.27221,                 0.2954,                0.69638,                0.83112,               0.006634,               0.006634,               0.006634
                     36,                0.33534,                0.34331,                0.57479,                 0.8793,                0.92811,                 0.8248,                0.84863,                0.81775,                0.92811,                 0.8248,                0.84863,                0.82191,                0.27197,                0.35237,                 0.6702,                0.82778,               0.006535,               0.006535,               0.006535
                     37,                0.31872,                0.28909,                0.50677,                0.87279,                 0.9586,                 0.8192,                0.86348,                0.83714,                 0.9586,                 0.8192,                0.86348,                 0.8341,                0.31504,                0.35343,                0.89001,                0.85825,               0.006436,               0.006436,               0.006436
                     38,                0.31798,                0.28032,                0.54531,                0.86942,                0.96185,                0.80221,                0.85218,                 0.8295,                0.96185,                0.80221,                0.85242,                0.82495,                0.28543,                0.31064,                0.46657,                0.86997,               0.006337,               0.006337,               0.006337
                     39,                0.32274,                0.25783,                0.51963,                0.88639,                0.92435,                0.75397,                0.87069,                0.85556,                0.92435,                0.75397,                0.87069,                0.84434,                0.49444,                0.86584,                 1.3457,                 1.2961,               0.006238,               0.006238,               0.006238
                     40,                0.30574,                0.28048,                0.52631,                0.87268,                0.95158,                0.78779,                0.95272,                 0.9298,                0.95158,                0.78779,                0.95272,                0.92921,                0.29251,                0.29006,                0.73186,                0.95988,               0.006139,               0.006139,               0.006139
                     41,                0.31369,                0.28404,                0.52257,                0.88824,                 0.8503,                0.93485,                0.94882,                0.93203,                 0.8503,                0.93485,                0.94882,                0.93218,                0.25807,                0.27489,                0.53703,                0.82391,                0.00604,                0.00604,                0.00604
                     42,                0.31722,                0.25857,                 0.4947,                0.87376,                0.96827,                0.80201,                0.84868,                0.83904,                0.96827,                0.80201,                0.84868,                0.83758,                0.26716,                0.30442,                0.79201,                0.82766,               0.005941,               0.005941,               0.005941
                     43,                0.30777,                0.25301,                0.51651,                0.87713,                0.92929,                0.76401,                0.85108,                0.83853,                0.92929,                0.76401,                0.85108,                0.83629,                0.32738,                  0.418,                 1.0044,                0.90942,               0.005842,               0.005842,               0.005842
                     44,                0.30349,                0.24038,                0.51825,                0.86951,                0.95711,                0.81224,                0.86602,                 0.8503,                0.95711,                0.81224,                0.86602,                 0.8528,                0.24723,                0.24722,                 1.2308,                0.84059,               0.005743,               0.005743,               0.005743
                     45,                0.30215,                0.32315,                0.54613,                0.87236,                0.81599,                0.92268,                0.86779,                0.86356,                0.81599,                0.92268,                0.86779,                0.85769,                0.24892,                0.35015,                0.96361,                0.81319,               0.005644,               0.005644,               0.005644
                     46,                 0.2921,                0.25211,                0.50379,                 0.8664,                0.97171,                0.78664,                0.87054,                0.85133,                0.97171,                0.78664,                0.87054,                 0.8522,                0.24773,                0.40289,                 1.0855,                0.85285,               0.005545,               0.005545,               0.005545
                     47,                0.30024,                0.26479,                0.47729,                0.87019,                0.93963,                0.79386,                0.88451,                0.87268,                0.93963,                0.79386,                0.88451,                0.86773,                0.25328,                  0.349,                0.92831,                0.83616,               0.005446,               0.005446,               0.005446
                     48,                 0.2885,                0.24566,                0.49155,                0.87089,                0.92136,                 0.7766,                0.83034,                 0.8153,                0.92136,                 0.7766,                0.83034,                0.80826,                0.21636,                0.25763,                  1.167,                0.79383,               0.005347,               0.005347,               0.005347
                     49,                0.29459,                0.28237,                0.47468,                0.86203,                0.94886,                0.78292,                0.86146,                0.84584,                0.96044,                0.76556,                0.85531,                0.83592,                0.22928,                0.30012,                 1.0666,                0.81589,               0.005248,               0.005248,               0.005248
                     50,                0.27349,                0.28673,                0.48869,                0.86468,                0.90725,                 0.7958,                0.85569,                0.84221,                 0.9008,                0.79025,                0.85234,                0.83607,                0.23263,                0.31217,                0.83138,                0.80949,               0.005149,               0.005149,               0.005149
                     51,                0.27908,                0.26316,                0.42905,                0.85549,                0.94736,                   0.79,                0.87853,                0.87372,                0.94736,                   0.79,                0.87853,                 0.8684,                0.26237,                0.31283,                0.49383,                0.84543,                0.00505,                0.00505,                0.00505
                     52,                0.28787,                0.24064,                0.45471,                0.86703,                0.95574,                0.79564,                 0.8358,                0.83316,                0.95574,                0.79564,                 0.8358,                0.82978,                0.27147,                0.28156,                 0.5178,                0.89033,               0.004951,               0.004951,               0.004951
                     53,                0.27147,                0.23525,                0.42899,                0.86801,                0.88034,                0.89937,                0.93645,                0.93093,                0.88034,                0.89937,                0.93645,                0.93043,                0.36415,                0.28064,                0.84802,                0.94109,               0.004852,               0.004852,               0.004852
                     54,                0.27538,                0.25698,                0.44199,                0.86702,                0.95705,                0.80638,                0.89544,                0.88334,                0.95705,                0.80638,                0.89544,                0.87751,                0.24924,                0.30419,                0.44816,                0.91637,               0.004753,               0.004753,               0.004753
                     55,                 0.2712,                0.24757,                 0.4547,                0.85965,                0.74354,                0.92412,                0.88753,                0.87641,                0.74354,                0.92412,                0.88753,                0.87184,                0.23697,                0.24364,                 1.2398,                0.81201,               0.004654,               0.004654,               0.004654
                     56,                0.29692,                0.25132,                0.44455,                0.86224,                0.87639,                0.91367,                0.93822,                0.92462,                0.87639,                0.91367,                0.93822,                 0.9212,                0.30924,                0.38884,                0.92544,                0.90851,               0.004555,               0.004555,               0.004555
                     57,                0.26959,                0.29815,                0.41992,                0.87744,                0.95569,                0.79287,                0.88595,                0.86839,                0.95569,                0.79287,                0.88595,                0.86643,                0.31542,                0.37256,                0.67681,                0.92284,               0.004456,               0.004456,               0.004456
                     58,                 0.2759,                0.24692,                 0.4208,                0.85966,                0.80037,                 0.9477,                0.89905,                0.88746,                0.80037,                 0.9477,                0.89905,                0.88137,                0.25523,                0.30771,                0.74748,                0.84181,               0.004357,               0.004357,               0.004357
                     59,                0.26461,                0.28013,                0.39926,                0.85863,                 0.8679,                0.94823,                0.94896,                0.94281,                 0.8679,                0.94823,                0.94896,                0.93349,                0.20366,                0.29587,                 0.3919,                0.81246,               0.004258,               0.004258,               0.004258
                     60,                0.25158,                0.24599,                0.39695,                0.86165,                0.81586,                0.94289,                0.93638,                 0.9315,                0.81586,                0.94289,                0.93638,                0.92433,                0.26185,                0.38194,                0.45803,                0.91511,               0.004159,               0.004159,               0.004159
                     61,                0.26738,                0.21698,                0.36594,                0.85574,                0.77399,                0.93729,                0.92453,                0.91884,                0.77399,                0.93729,                0.92453,                0.91272,                0.19358,                0.25539,                0.82514,                0.79002,                0.00406,                0.00406,                0.00406
                     62,                0.25239,                0.27714,                0.40247,                0.86351,                0.80558,                0.92226,                0.92685,                0.92036,                0.80558,                0.92226,                0.92685,                0.91757,                0.22808,                0.26173,                0.50525,                0.83566,               0.003961,               0.003961,               0.003961
                     63,                0.25884,                0.24196,                0.38825,                0.86216,                0.86821,                0.90074,                0.91998,                 0.9173,                0.86821,                0.90074,                0.91998,                0.90764,                0.20883,                0.27203,                0.55412,                0.80735,               0.003862,               0.003862,               0.003862
                     64,                 0.2484,                0.25608,                0.37395,                 0.8512,                0.96132,                0.80239,                0.85502,                0.84503,                0.96132,                0.80239,                0.85502,                0.83871,                0.20291,                0.23362,                0.34506,                0.79362,               0.003763,               0.003763,               0.003763
                     65,                0.24566,                0.22043,                0.38503,                0.85747,                0.94066,                0.80894,                0.87186,                0.86172,                0.94066,                0.80894,                0.87186,                0.85306,                0.20398,                0.25809,                0.65688,                0.81231,               0.003664,               0.003664,               0.003664
                     66,                0.25907,                0.22041,                0.34602,                0.85876,                0.94803,                0.78569,                0.86027,                0.84951,                0.94803,                0.78569,                0.86027,                 0.8464,                0.31497,                0.24447,                 0.8804,                0.94032,               0.003565,               0.003565,               0.003565
                     67,                0.23699,                0.21505,                0.32326,                0.84897,                0.94218,                0.81865,                 0.8446,                  0.838,                0.94218,                0.81865,                 0.8446,                0.83191,                0.20452,                0.23082,                0.57367,                0.82278,               0.003466,               0.003466,               0.003466
                     68,                0.23378,                0.21387,                0.32191,                 0.8533,                0.95529,                0.76279,                0.84207,                0.83197,                0.95529,                0.76279,                0.84207,                 0.8318,                0.34633,                0.26294,                0.71352,                0.99742,               0.003367,               0.003367,               0.003367
                     69,                0.24436,                0.21384,                0.35889,                0.85332,                0.89313,                 0.9486,                0.96106,                0.95108,                0.89313,                 0.9486,                0.96106,                0.94765,                0.18503,                0.22623,                0.58069,                0.78836,               0.003268,               0.003268,               0.003268
                     70,                0.23853,                0.21667,                0.32702,                0.85275,                0.87074,                0.95882,                0.95693,                0.94598,                0.87074,                0.95882,                0.95693,                0.94299,                0.19312,                0.22943,                0.39956,                0.79126,               0.003169,               0.003169,               0.003169
                     71,                0.25298,                0.20978,                0.36483,                 0.8599,                0.95994,                0.81133,                0.85181,                0.83826,                0.95994,                0.81133,                0.85181,                0.83698,                0.38021,                0.24299,                0.39894,                 1.0078,                0.00307,                0.00307,                0.00307
                     72,                0.23868,                0.19839,                0.32751,                0.86017,                0.97933,                0.79147,                 0.8414,                0.83898,                0.97933,                0.79147,                 0.8414,                 0.8372,                0.21658,                0.23127,                0.33766,                0.80958,               0.002971,               0.002971,               0.002971
                     73,                0.23088,                0.23466,                0.31834,                0.84695,                0.80474,                0.95404,                0.87374,                0.86678,                0.80474,                0.95404,                0.87374,                0.86331,                0.18329,                0.22707,                0.37138,                0.78892,               0.002872,               0.002872,               0.002872
                     74,                0.23511,                0.20873,                0.32719,                0.84649,                0.95434,                0.82893,                0.90736,                0.89874,                0.95434,                0.82893,                0.90736,                0.89555,                0.16908,                 0.2305,                0.89955,                0.76977,               0.002773,               0.002773,               0.002773
                     75,                 0.2191,                0.20211,                0.29531,                0.84991,                0.88741,                0.94836,                0.96267,                0.95406,                0.88741,                0.94836,                0.96267,                0.95089,                0.17696,                 0.2514,                0.63322,                0.78489,               0.002674,               0.002674,               0.002674
                     76,                0.22855,                0.20963,                0.32843,                0.84133,                0.81969,                 0.9602,                0.96446,                0.95325,                0.81969,                 0.9602,                0.96446,                0.94996,                0.17018,                0.22311,                0.79585,                0.77937,               0.002575,               0.002575,               0.002575
                     77,                0.21968,                0.23195,                0.30457,                0.84287,                0.95933,                 0.8296,                0.85403,                0.84235,                0.95933,                 0.8296,                0.85403,                0.83648,                0.14731,                0.22304,                0.83653,                0.77033,               0.002476,               0.002476,               0.002476
                     78,                0.22784,                0.21964,                0.30828,                0.85731,                0.96227,                0.82039,                 0.8543,                0.84173,                0.96227,                0.82039,                 0.8543,                0.83537,                0.16358,                0.23184,                0.83552,                0.78062,               0.002377,               0.002377,               0.002377
                     79,                0.21367,                0.19235,                0.29172,                0.84067,                0.80941,                0.84832,                0.85742,                0.84176,                0.80941,                0.84832,                0.85742,                0.83988,                0.16294,                0.22531,                0.72683,                 0.7826,               0.002278,               0.002278,               0.002278
                     80,                 0.2254,                0.22761,                0.29944,                0.83829,                0.82215,                0.90823,                0.89135,                0.87885,                0.82215,                0.90823,                0.89135,                0.87577,                0.16194,                0.22449,                0.96528,                0.78966,               0.002179,               0.002179,               0.002179
                     81,                0.21606,                0.19399,                0.31289,                0.83767,                0.83879,                0.94021,                0.90542,                0.89146,                0.83879,                0.94021,                0.90542,                0.88965,                0.20086,                0.22956,                0.89175,                0.85992,                0.00208,                0.00208,                0.00208
                     82,                0.21412,                0.18546,                0.28506,                0.84674,                0.97822,                0.84019,                0.89062,                0.87724,                0.97822,                0.84019,                0.89062,                0.87459,                0.15042,                0.21282,                0.33683,                0.77432,               0.001981,               0.001981,               0.001981
                     83,                  0.211,                0.19671,                0.28683,                0.84191,                0.98193,                0.82868,                0.86579,                 0.8558,                0.98193,                0.82868,                0.86579,                0.85371,                0.15906,                0.21537,                0.28215,                0.77833,               0.001882,               0.001882,               0.001882
                     84,                0.20884,                 0.1825,                0.26127,                  0.847,                0.98721,                0.82736,                0.87788,                0.86933,                0.98721,                0.82736,                0.87788,                 0.8653,                0.16732,                0.21472,                0.31108,                0.78443,               0.001783,               0.001783,               0.001783
                     85,                0.22276,                0.17609,                 0.2799,                0.84798,                0.97719,                0.82319,                0.87789,                0.87192,                0.97719,                0.82319,                0.87789,                0.86814,                 0.1705,                0.21798,                0.54721,                0.78523,               0.001684,               0.001684,               0.001684
                     86,                0.20607,                0.18929,                0.28366,                0.83934,                0.98041,                0.80164,                0.86368,                0.85223,                0.98041,                0.80164,                0.86368,                0.85243,                0.17044,                0.21497,                0.58753,                0.78204,               0.001585,               0.001585,               0.001585
                     87,                0.20049,                0.19566,                0.28592,                  0.837,                0.97204,                0.81347,                0.85814,                0.84639,                0.97204,                0.81347,                0.85814,                0.84541,                0.15857,                0.21549,                0.46582,                0.76975,               0.001486,               0.001486,               0.001486
                     88,                0.20508,                0.19254,                0.26245,                0.84637,                0.98257,                0.80056,                0.87208,                 0.8606,                0.98257,                0.80056,                0.87208,                0.86046,                0.16949,                 0.2125,                0.55543,                0.77614,               0.001387,               0.001387,               0.001387
                     89,                0.19087,                0.19043,                0.24568,                0.82967,                0.94587,                0.83261,                0.87656,                0.86038,                0.94587,                0.83261,                0.87656,                0.86033,                0.15973,                0.21143,                0.66424,                0.77055,               0.001288,               0.001288,               0.001288
                     90,                0.19515,                0.16472,                0.25092,                0.83885,                0.97013,                0.82993,                0.96791,                0.95664,                0.97013,                0.82993,                0.96791,                0.95129,                0.14737,                0.21686,                0.70697,                0.76936,               0.001189,               0.001189,               0.001189
                     91,                   0.18,                0.19227,                0.24101,                0.83507,                0.96662,                   0.85,                0.96642,                0.95211,                0.96662,                   0.85,                0.96642,                0.95048,                0.14423,                0.21846,                0.45219,                0.76139,                0.00109,                0.00109,                0.00109
                     92,                0.18647,                0.20666,                0.28787,                0.83489,                0.96736,                0.84987,                 0.8911,                0.87676,                0.96736,                0.84987,                 0.8911,                0.87467,                0.13896,                0.21531,                0.41546,                0.75914,               0.000991,               0.000991,               0.000991
                     93,                0.19344,                0.20455,                0.24042,                0.83884,                0.96939,                0.84548,                0.89011,                0.87505,                0.96939,                0.84548,                0.89011,                 0.8741,                 0.1382,                0.21506,                0.39513,                0.75577,               0.000892,               0.000892,               0.000892
                     94,                0.19334,                0.19401,                0.23565,                0.84601,                0.82861,                0.93523,                0.89301,                0.87792,                0.82861,                0.93523,                0.89301,                 0.8772,                0.13391,                0.21545,                0.30376,                0.75546,               0.000793,               0.000793,               0.000793
                     95,                 0.1993,                0.20289,                0.24074,                0.84973,                  0.967,                0.84697,                0.88366,                0.86938,                  0.967,                0.84697,                0.88366,                0.86857,                0.13629,                0.21381,                0.33063,                  0.759,               0.000694,               0.000694,               0.000694
                     96,                0.18507,                0.19245,                0.22467,                0.83499,                0.96929,                0.85087,                0.88423,                0.86949,                0.96929,                0.85087,                0.88423,                0.86951,                 0.1373,                0.21498,                0.32733,                0.76072,               0.000595,               0.000595,               0.000595
                     97,                0.17556,                0.17679,                0.21804,                0.83351,                0.97938,                0.84701,                0.85772,                0.84248,                0.97938,                0.84701,                0.85772,                0.84301,                0.13505,                0.21621,                 0.3213,                0.75924,               0.000496,               0.000496,               0.000496
                     98,                0.18376,                0.21746,                0.21295,                0.84664,                 0.9801,                0.84693,                0.85186,                0.83627,                 0.9801,                0.84693,                0.85186,                0.83772,                0.13189,                0.21938,                0.30024,                0.75795,               0.000397,               0.000397,               0.000397
                     99,                  0.174,                0.16916,                0.22226,                0.83604,                0.98074,                0.84256,                0.85198,                0.83633,                0.98074,                0.84256,                0.85198,                0.83703,                0.12548,                0.21153,                0.28036,                0.75546,               0.000298,               0.000298,               0.000298
